user_id,user_type,type_desc,province,business_segment,merchant_size,account_age_months,hit_count,reported_risk
202000000110596778,customer,basic service,1,,,38,,1
202000000120470040,customer,basic service,1,,,33,,1
202000000127141702,customer,basic service,1,,,26,,1
202000000123300672,customer,basic service,1,,,31,,1
202000000077809293,customer,full service,2,,,54,103,1
202000000125963838,customer,basic service,1,,,28,,1
202000000126489515,customer,basic service,1,,,27,,1
202000000127621756,customer,basic service,1,,,26,,1
202000000124492266,customer,basic service,1,,,30,,1
202000000127365033,customer,basic service,1,,,26,,1
202000000131094683,customer,full service,2,,,22,,1
202100000007381980,customer,basic service,1,,,16,,1
202000000125216538,customer,basic service,1,,,29,,1
202000000077994281,customer,full service,2,,,54,,1
202000000108723210,customer,basic service,1,,,39,,1
202000000126914500,customer,basic service,1,,,27,,1
202100000008814922,customer,basic service,1,,,11,,1
202000000125642370,customer,basic service,1,,,29,,1
202000000125310207,customer,basic service,1,,,29,,1
202000000127665583,customer,basic service,1,,,26,,1
202000000126215216,customer,full service,2,,,27,,1
202000000125565415,customer,basic service,1,,,29,,1
202000000112822616,customer,basic service,1,,,37,,1
202000000101946711,customer,basic service,1,,,42,,1
202100000008204399,customer,basic service,1,,,13,,1
202100000006469109,customer,basic service,1,,,19,,1
202000000112852144,customer,basic service,1,,,37,,1
202100000007492829,customer,basic service,1,,,16,,1
202100000009469329,customer,basic service,1,,,8,1,1
202000000105334216,customer,basic service,1,,,41,,1
202000000125063940,customer,basic service,1,,,29,,1
202000000126154595,customer,basic service,1,,,27,,1
202000000123112447,customer,basic service,1,,,31,,1
202000000072526809,customer,full service,2,,,56,,1
202100000007949402,customer,basic service,1,,,14,,1
201000000004843713,merchant,2,1,1,1,36,,1
201000000004845538,merchant,2,1,1,1,36,,1
201000000004867617,merchant,2,1,1,2,36,,1
201000000003585628,merchant,2,1,1,2,47,,1
201000000005330952,merchant,2,1,1,2,33,,1
201000000002374500,merchant,2,1,1,3,51,,1
201000000004781843,merchant,2,1,1,1,36,,1
201000000005343378,merchant,2,1,2,2,33,,1
201000000003372342,merchant,2,1,1,2,48,,1
201000000004867620,merchant,2,1,1,2,36,,1
202000000050996286,customer,basic service,1,,,63,,1
201000000005345408,merchant,2,1,1,3,33,,1
201000000004838644,merchant,2,1,2,2,36,,1
202000000122065232,customer,basic service,1,,,32,,1
201000000004843712,merchant,2,1,1,1,36,,1
201000000004866700,merchant,2,1,1,2,36,,1
201000000003931257,merchant,2,1,2,2,44,,1
201000000004843711,merchant,2,1,1,1,36,,1
201000000004859332,merchant,2,1,2,1,36,,1
201000000002272537,merchant,2,1,2,2,52,,1
201000000004091210,merchant,2,1,2,2,43,,1
201000000004843705,merchant,2,1,1,1,36,,1
201100000005522157,merchant,1,1,2,3,21,,1
201000000004091208,merchant,2,1,1,2,43,,1
201000000004330021,merchant,2,1,1,2,41,,1
201000000005060864,merchant,2,1,1,3,34,,1
201000000004901115,merchant,2,1,1,2,35,,1
201000000003184195,merchant,2,1,1,2,49,,1
201000000005045950,merchant,2,1,2,2,34,,1
201000000005136305,merchant,2,1,1,1,33,,1
202000000125117447,customer,basic service,1,,,29,,1
201000000004841886,merchant,2,1,1,1,36,,1
201000000004843707,merchant,2,1,1,1,36,,1
201000000004843714,merchant,2,1,1,1,36,,1
201000000005351314,merchant,2,1,1,1,33,,1
201000000004841879,merchant,2,1,1,1,36,,1
201000000004843716,merchant,2,1,1,1,36,,1
201000000005348936,merchant,2,1,1,1,33,,1
201000000005493914,merchant,2,1,1,3,30,,1
201000000004845556,merchant,2,1,1,1,36,,1
201000000005071277,merchant,2,1,1,1,34,,1
201000000003941697,merchant,2,1,2,2,44,,1
201000000004841889,merchant,2,1,1,1,36,,1
201000000005156074,merchant,2,1,1,1,33,,1
201000000004841882,merchant,2,1,1,1,36,,1
201000000004841887,merchant,2,1,1,1,36,,1
201000000004841883,merchant,2,1,1,1,36,,1
201000000004845541,merchant,2,1,1,1,36,,1
202000000130194117,customer,basic service,1,,,23,,1
202100000005616856,customer,basic service,1,,,20,,1
202000000124827373,customer,basic service,1,,,29,,1
202000000049703269,customer,basic service,1,,,63,,1
202000000125407641,customer,basic service,1,,,29,,1
202000000131609918,customer,basic service,1,,,21,,1
202000000122852240,customer,basic service,1,,,31,,1
202000000125898569,customer,basic service,1,,,28,,1
202000000125771897,customer,basic service,1,,,28,,1
202100000008081041,customer,basic service,1,,,14,,1
202000000122264545,customer,basic service,1,,,32,,1
202000000130939282,customer,basic service,1,,,22,,1
202000000126074394,customer,basic service,1,,,28,,1
202000000122305975,customer,basic service,1,,,32,,1
202100000008460444,customer,basic service,1,,,12,,1
202100000006244171,customer,basic service,1,,,19,,1
202000000122823373,customer,basic service,1,,,32,,1
202000000127801763,customer,basic service,1,,,26,,1
202000000127785273,customer,basic service,1,,,26,,1
202000000126156958,customer,basic service,1,,,27,,1
202000000122509503,customer,basic service,1,,,32,,1
202000000123453630,customer,basic service,1,,,31,,1
202100000008112080,customer,basic service,1,,,14,,1
202000000127784760,customer,basic service,1,,,26,,1
202000000104656671,customer,basic service,1,,,41,,1
202100000005665163,customer,basic service,1,,,20,,1
202000000125864524,customer,basic service,1,,,28,,1
202000000130535666,customer,basic service,1,,,23,,1
202000000125372306,customer,basic service,1,,,29,,1
202100000007150482,customer,basic service,1,,,17,,1
202000000123040004,customer,basic service,1,,,31,,1
202000000126787195,customer,basic service,1,,,27,,1
202100000007325041,customer,basic service,1,,,16,,1
202000000124879131,customer,basic service,1,,,29,,1
202100000007930964,customer,basic service,1,,,14,,1
202000000126215343,customer,basic service,1,,,27,,1
202000000124457524,customer,basic service,1,,,30,,1
202000000125264326,customer,basic service,1,,,29,,1
