user_id,type,province,type_desc,business_segment,business_sub_segment,account_age_months,outbound_trx,inbound_trx,hit_count,reported_risk
202100000007197183,customer,Jawa Tengah,full service,-,-,19,165,0,0,0
202000000089573554,customer,Sumatera Barat,full service,-,-,49,1,0,0,0
202100000006132506,customer,Banten,full service,-,-,21,109,0,0,0
202000000036240275,customer,,basic service,-,-,75,1,0,0,0
202000000097742138,customer,Jawa Timur,full service,-,-,46,146,0,6,0
202000000085777087,customer,Jawa Timur,full service,-,-,51,84,0,0,0
202000000097561836,customer,Jawa Barat,full service,-,-,46,98,0,0,0
202100000006347378,customer,,basic service,-,-,21,42,0,0,0
202000000066535374,customer,Sumatera Utara,full service,-,-,60,20,0,0,0
202000000113918218,customer,Jawa Timur,full service,-,-,39,45,0,0,0
202000000076748127,customer,Jawa Barat,full service,-,-,56,96,0,0,0
202000000025270166,customer,,basic service,-,-,80,1,0,0,0
202100000007397973,customer,Jawa Barat,full service,-,-,18,45,0,0,0
201000000003972162,merchant,,Perorangan,Retail,Retail-non CICO,46,0,1,0,1
202000000126249731,customer,Jawa Barat,full service,-,-,29,73,0,0,0
202100000007378267,customer,,basic service,-,-,18,7,0,0,1
202100000008061202,customer,Jambi,full service,-,-,16,11,0,0,0
202000000052577632,customer,,basic service,-,-,65,35,0,0,0
202100000005751816,customer,Banten,full service,-,-,22,59,0,0,0
202000000046488220,customer,Riau,full service,-,-,66,171,0,0,0
202000000069517594,customer,Dki  Jakarta,full service,-,-,59,47,0,0,0
202100000008266871,customer,,basic service,-,-,15,16,0,0,0
202100000006927656,customer,Jawa Barat,full service,-,-,20,106,0,0,0
202000000098971824,customer,,basic service,-,-,45,21,0,0,0
202000000113526418,customer,,basic service,-,-,39,38,0,0,0
201000000004292991,merchant,,Perorangan,Retail,Retail-non CICO,43,0,5,0,1
201000000001195015,merchant,,PT,Bank,Linked bank,73,14700686,7484017,94737,0
202000000119774892,customer,,basic service,-,-,35,3,0,0,1
202000000115789168,customer,Lampung,full service,-,-,38,167,0,0,0
202100000007017408,customer,Banten,full service,-,-,19,71,0,0,0
202000000087924536,customer,Jawa Timur,full service,-,-,50,98,0,0,0
202000000105412493,customer,Jawa Tengah,full service,-,-,43,1,0,0,0
202000000128892278,customer,,basic service,-,-,26,21,0,0,0
201000000004307382,merchant,,Perorangan,Retail,Retail-non CICO,43,0,1,0,1
202000000102534459,customer,Sumatera Barat,full service,-,-,44,1,0,0,0
202100000007252500,customer,Jawa Barat,full service,-,-,19,167,0,0,0
202000000122276857,customer,Jawa Timur,full service,-,-,34,1,0,0,0
201000000004613459,merchant,,Perorangan,Retail,Retail-non CICO,40,0,2,0,1
202000000129042217,customer,Kalimantan Timur,full service,-,-,26,8,0,0,0
202100000007414103,customer,Jawa Barat,full service,-,-,18,57,0,0,0
202000000041745665,customer,,basic service,-,-,72,1,0,0,0
202000000126395045,customer,Jawa Barat,basic service,-,-,29,50,0,0,0
202100000006883224,customer,Jawa Barat,full service,-,-,20,72,0,0,0
201000000002533376,merchant,,Perorangan,Retail,Marketplace and online retail,53,0,5,0,1
202000000125962525,customer,Jawa Barat,full service,-,-,30,129,0,4,0
202000000127615897,customer,Jawa Barat,full service,-,-,28,86,0,0,0
202000000079776451,customer,Papua Barat,full service,-,-,55,36,0,0,0
202000000125923560,customer,Jawa Barat,full service,-,-,30,80,0,0,0
201000000004316490,merchant,,Perorangan,Retail,Retail-non CICO,43,0,4,0,1
202100000007259747,customer,Jawa Barat,full service,-,-,19,73,0,0,0
202100000007760390,customer,Jawa Barat,full service,-,-,17,39,0,0,0
202000000068612443,customer,Jawa Timur,full service,-,-,59,32,0,0,0
202000000081147883,customer,Jawa Barat,full service,-,-,54,212,0,0,0
202100000007625507,customer,,basic service,-,-,17,5,0,0,1
202000000063751029,customer,D.I. Yogyakarta,full service,-,-,61,3,0,0,0
201000000003925209,merchant,,CV,Retail,Retail-non CICO,47,0,1788,0,0
202000000070875591,customer,Jawa Barat,full service,-,-,58,118,0,0,0
202100000008088182,customer,Bali,full service,-,-,16,6,0,0,0
202000000067192365,customer,D.I. Yogyakarta,full service,-,-,60,3,0,0,0
201000000003757482,merchant,,PT,Telco Product,Prepaid,48,143,0,0,0
202100000007251887,customer,Jawa Barat,full service,-,-,19,77,0,0,0
202000000126259293,customer,,basic service,-,-,29,89,0,0,0
202000000066911064,customer,Banten,full service,-,-,60,62,0,0,0
202100000006528421,customer,,basic service,-,-,21,215,0,0,0
202000000048727273,customer,Jawa Timur,full service,-,-,65,31,0,0,0
202000000005108099,customer,Jawa Barat,full service,-,-,109,14,0,0,0
202000000125972928,customer,Jawa Barat,full service,-,-,30,211,0,0,0
202000000080935741,customer,Papua,basic service,-,-,54,1,0,0,0
202100000007133347,customer,,basic service,-,-,19,8,0,0,1
202000000116326522,customer,,basic service,-,-,37,47,0,26,0
202000000131127143,customer,Jawa Barat,full service,-,-,24,42,0,0,0
202100000006871563,customer,Jawa Barat,full service,-,-,20,88,0,0,0
202000000131592867,customer,,basic service,-,-,23,111,0,0,0
202000000125933735,customer,Jawa Barat,full service,-,-,30,51,0,0,0
202000000044201575,customer,,basic service,-,-,69,3,0,0,0
202100000008084260,customer,,basic service,-,-,16,5,0,0,0
202000000116582669,customer,Jawa Barat,full service,-,-,37,17,0,0,0
202000000119760125,customer,Jawa Timur,full service,-,-,35,57,0,0,0
202000000129196029,customer,,basic service,-,-,26,1,0,0,0
202000000092587387,customer,Lampung,full service,-,-,48,91,0,0,0
202000000087132518,customer,Jawa Tengah,full service,-,-,50,203,0,0,0
202000000006781577,customer,,basic service,-,-,112,1,0,0,0
202000000116851548,customer,Lampung,full service,-,-,37,345,0,0,0
202100000007332126,customer,Jawa Barat,full service,-,-,18,41,0,0,0
202000000095998744,customer,Jawa Timur,full service,-,-,47,36,0,0,0
202100000007634820,customer,,basic service,-,-,17,4,0,0,1
202100000008107085,customer,,basic service,-,-,16,3,0,0,1
202000000130206713,customer,Jawa Barat,full service,-,-,25,353,0,0,0
202000000081191895,customer,Sumatera Selatan,full service,-,-,54,160,0,0,0
202000000104642998,customer,Jawa Timur,full service,-,-,43,116,0,2,0
202000000115982679,customer,,basic service,-,-,37,27,0,0,0
202000000128818935,customer,,basic service,-,-,26,12,0,0,0
202000000068564797,customer,Jawa Barat,full service,-,-,59,94,0,0,0
202000000121309822,customer,,basic service,-,-,35,20,0,0,0
202000000118265161,customer,Jawa Barat,full service,-,-,36,37,0,0,0
202100000007239635,customer,Jawa Barat,full service,-,-,19,136,0,75,0
202000000055847207,customer,Sulawesi Tengah,full service,-,-,64,3,0,3,0
202000000131165654,customer,Jawa Barat,full service,-,-,24,10,0,0,0
202000000088926836,customer,Jawa Timur,full service,-,-,49,278,0,3,0
202000000097608174,customer,Jawa Barat,full service,-,-,46,58,0,19,0
