source_id,target_id,trans_amount,source_type,credit_party_type,description,label
201000000001195015,201000000003925223,97200,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,82000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000004937021,459998,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,509000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,20000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,500000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,100000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,82500,merchant,merchant,General B2b Transfer,1
202000000046488220,201000000001195015,101256,customer,merchant,Customer Buy Goods Reservation,1
201000000001195015,201000000003924325,60200,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,228800,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,43000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,143900,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,175700,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,42000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925209,51400,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,7300,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,126500,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,248000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,105000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,35200,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,149500,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000004937021,450002,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,311500,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,72000,merchant,merchant,General B2b Transfer,1
202000000119774892,201000000001195015,855123,customer,merchant,Customer Buy Goods Reservation,1
201000000001195015,201000000004937021,334000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,168500,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925209,173400,merchant,merchant,,1
201000000001195015,201000000003924325,122000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925209,68000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003925223,60000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,103900,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003821689,500000,merchant,merchant,General B2b Transfer,1
201000000001195015,201000000003924325,115500,merchant,merchant,General B2b Transfer,1
